agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
Q-Learning,1,98,-1165.334511643331,-0.03603377136924742,14883.0,51.0
Q-Learning,1,99,-1166.4722339831628,-0.025857325905264118,14927.0,44.0
Q-Learning,2,0,-38.33772233983194,-0.09215798639382679,416.0,416.0
Q-Learning,2,1,-145.27544467966158,-0.0970396754444915,1518.0,1102.0
Q-Learning,2,2,-173.21316701949337,-0.08954398185843523,1830.0,312.0
Q-Learning,2,3,-226.95088935932552,-0.09427670585935467,2400.0,570.0
Q-Learning,2,4,-300.18861169915704,-0.09573558475794974,3165.0,765.0
Q-Learning,2,5,-302.7263340389886,-0.043753833445372696,3223.0,58.0
Q-Learning,2,6,-309.4640563788202,-0.067377223398316,3323.0,100.0
Q-Learning,2,7,-341.20177871865206,-0.09067920668523385,3673.0,350.0
Q-Learning,2,8,-352.8395010584836,-0.07810551905927238,3822.0,149.0
Q-Learning,2,9,-361.2772233983152,-0.0721172849558256,3939.0,117.0
Q-Learning,2,10,-374.71494573814675,-0.08046540323252446,4106.0,167.0
Q-Learning,2,11,-440.7526680779787,-0.09529252862890615,4799.0,693.0
Q-Learning,2,12,-450.19039041781025,-0.0743127743293826,4926.0,127.0
Q-Learning,2,13,-458.1281127576419,-0.07087252089135354,5038.0,112.0
Q-Learning,2,14,-468.16583509747346,-0.07547159654008713,5171.0,133.0
Q-Learning,2,15,-487.30355743730513,-0.08543626044567709,5395.0,224.0
Q-Learning,2,16,-488.3412797771368,-0.024133077670502826,5438.0,43.0
Q-Learning,2,17,-533.2790021169689,-0.09323178908678846,5920.0,482.0
Q-Learning,2,18,-536.1167244568005,-0.04652003835789533,5981.0,61.0
Q-Learning,2,19,-544.8544467966321,-0.07281435283192995,6101.0,120.0
Q-Learning,2,20,-565.9921691364639,-0.08663000958947417,6345.0,244.0
Q-Learning,2,21,-582.8298914762955,-0.0837697628847345,6546.0,201.0
Q-Learning,2,22,-605.8676138161272,-0.08759590243282024,6809.0,263.0
Q-Learning,2,23,-609.2053361559589,-0.05057155060350929,6875.0,66.0
Q-Learning,2,24,-646.4430584957909,-0.09194499343168376,7280.0,405.0
Q-Learning,2,25,-664.0807808356225,-0.08439101598005573,7489.0,209.0
Q-Learning,2,26,-666.8185031754541,-0.04562870566386026,7549.0,60.0
Q-Learning,2,27,-682.1562255152858,-0.08246087279479362,7735.0,186.0
